Primary Column,Location,Field,Latitude,Longitude,PlantingDate
,	CAAR 2837	,	106C	,	43.317952	,	-80.611386	,	2022-05-29
,	CAAR 2837	,	101N	,	43.317952	,	-80.611386	,	2022-05-29
,	CAAR 2837	,	104N	,	43.317952	,	-80.611386	,	2022-05-29
,	CAAR 2837	,	105N	,	43.317952	,	-80.611386	,	2022-05-29
,	CAAR 2837	,	102N	,	43.317952	,	-80.611386	,	2022-05-29
,	CAAR 2837	,	103N	,	43.317952	,	-80.611386	,	2022-05-29
,	CAAR 2840	,	102N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	103N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	160N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	108N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	104N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	107N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	105N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	106N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	101N	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2840	,	109C	,	43.606443	,	-80.504775	,	2022-06-03
,	CAAR 2J07	,	101N	,	43.964691	,	-78.644356	,	2022-06-16
,	CAAR 2J07	,	162N	,	43.964691	,	-78.644356	,	2022-06-16
,	CAAR 2J32	,	Block A	,	45.242877	,	-74.42604	,	2022-05-12
,	CAAR 3831	,	104N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	112N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	107N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	105N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	109N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	108N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	110C	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	161N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	106N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	103N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	102N	,	43.082261	,	-81.202735	,	2022-06-06
,	CAAR 3831	,	101N	,	43.082261	,	-81.202735	,	2022-05-07
,	CAAR 3835	,	166N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 3835	,	104N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 3835	,	197N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 3835	,	101N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 3835	,	103N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 3835	,	105N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 3835	,	102N	,	43.490431	,	-81.50926	,	2022-05-31
,	CAAR 4801	,	101C	,	43.203763	,	-81.56816999999999	,	2022-05-13
,	CAAR 4801	,	162N	,	43.203763	,	-81.56816999999999	,	2022-05-13
,	CAAR 4809	,	101N	,	42.884172	,	-81.68373200000001	,	2022-05-13
,	CAAR 4809	,	162N	,	42.884172	,	-81.68373200000001	,	2022-05-13
,	CAAR 5800	,	166N	,	42.551548	,	-82.35529	,	2022-05-19
,	CAAR 5800	,	104N	,	42.551548	,	-82.35529	,	2022-05-18
,	CAAR 5800	,	105N	,	42.551548	,	-82.35529	,	2022-05-18
,	CAAR 5800	,	102N	,	42.551548	,	-82.35529	,	2022-05-17
,	CAAR 5800	,	101N	,	42.551548	,	-82.35529	,	2022-05-17
,	CAAR 5800	,	103N	,	42.551548	,	-82.35529	,	2022-05-17
,	CAAR 5H03	,	101N	,	42.483294	,	-82.165516	,	2022-05-16
,	CAAR 5H03	,	162N	,	42.483294	,	-82.165516	,	2022-05-16
,	CAAR 5H03	,	163N	,	42.483294	,	-82.165516	,	2022-05-16
,	CAAR 5H07	,	101C	,	42.476812	,	-81.88278099999999	,	2022-05-25
,	CAAR 5H07	,	162N	,	42.476812	,	-81.88278099999999	,	2022-05-25
,	CAMB 0C20	,	162N	,	49.9174	,	-98.167714	,	2022-06-07
,	CAMB 0C20	,	101N	,	49.9174	,	-98.167714	,	2022-06-07
,	CAMB 0C20	,	102N	,	49.9174	,	-98.167714	,	2022-06-07
,	CAMB 0C20	,	161N	,	49.9174	,	-98.167714	,	2022-06-07
,	CAMB 0C22	,	102N	,	49.281178	,	-97.881075	,	2022-06-09
,	CAMB 0C22	,	101N	,	49.281178	,	-97.881075	,	2022-06-09
,	CAMB 0C22	,	161N	,	49.281178	,	-97.881075	,	2022-06-09
,	CAMB 0C23	,	101N	,	49.34457	,	-98.122449	,	2022-06-09
,	CAMB 0C23	,	161N	,	49.34457	,	-98.122449	,	2022-06-09
,	CAMB 0C24	,	101N	,	49.782947	,	-98.06164	,	2022-06-10
,	CAMB 0C24	,	161N	,	49.782947	,	-98.06164	,	2022-06-10
,	CAMB 0C24	,	102N	,	49.782947	,	-98.06164	,	2022-06-10
,	USAD 2338	,	111N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	184C	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	113N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	110N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	104N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	108N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	106N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	103N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	109N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	107N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	105N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	192C	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	112N	,	45.130023	,	-97.103685	,	2022-05-27
,	USAD 2338	,	161N	,	45.130023	,	-97.103685	,	2022-05-26
,	USAD 2C36	,	192N	,	45.480925	,	-100.017003	,	2022-05-27
,	USAD 2C36	,	161N	,	45.480925	,	-100.017003	,	2022-05-27
,	USAD 3320	,	107N	,	45.296113	,	-98.31009899999999	,	2022-05-27
,	USAD 3320	,	109N	,	45.296113	,	-98.31009899999999	,	2022-05-27
,	USAD 3320	,	106N	,	45.296113	,	-98.31009899999999	,	2022-05-27
,	USAD 3320	,	110N	,	45.296113	,	-98.31009899999999	,	2022-05-27
,	USAD 3320	,	108N	,	45.296113	,	-98.31009899999999	,	2022-05-27
,	USAD 3320	,	111N	,	45.296113	,	-98.31009899999999	,	2022-05-27
,	USAD 3320	,	192C	,	45.296113	,	-98.31009899999999	,	2022-05-26
,	USAD 3320	,	105N	,	45.296113	,	-98.31009899999999	,	2022-05-26
,	USAD 3320	,	104N	,	45.296113	,	-98.31009899999999	,	2022-05-26
,	USAD 3320	,	161N	,	45.296113	,	-98.31009899999999	,	2022-05-26
,	USAD 3320	,	103N	,	45.296113	,	-98.31009899999999	,	2022-05-26
,	USAD 3326	,	103N	,	45.694225	,	-97.906077	,	2022-05-28
,	USAD 3326	,	102C	,	45.694225	,	-97.906077	,	2022-05-28
,	USAD 3326	,	161N	,	45.694225	,	-97.906077	,	2022-05-28
,	USAD 3343	,	112N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	110N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	111N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	115N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	109N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	114N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	108N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	113N	,	44.61659	,	-96.672308	,	2022-05-27
,	USAD 3343	,	107N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3343	,	104N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3343	,	106N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3343	,	105N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3343	,	161N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3343	,	103N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3343	,	192N	,	44.61659	,	-96.672308	,	2022-05-26
,	USAD 3C18	,	102C	,	45.636557	,	-98.697642	,	2022-05-27
,	USAD 3C18	,	161N	,	45.636557	,	-98.697642	,	2022-05-27
,	USAD 4314	,	103N	,	44.941979	,	-99.10437899999999	,	2022-05-28
,	USAD 4314	,	192C	,	44.941979	,	-99.10437899999999	,	2022-05-28
,	USAD 4314	,	161N	,	44.941979	,	-99.10437899999999	,	2022-05-28
,	USAD 4318	,	108N	,	44.67034	,	-98.22130199999999	,	2022-05-18
,	USAD 4318	,	105N	,	44.67034	,	-98.22130199999999	,	2022-05-18
,	USAD 4318	,	107N	,	44.67034	,	-98.22130199999999	,	2022-05-18
,	USAD 4318	,	106N	,	44.67034	,	-98.22130199999999	,	2022-05-18
,	USAD 4318	,	161N	,	44.67034	,	-98.22130199999999	,	2022-05-16
,	USAD 4318	,	102C	,	44.67034	,	-98.22130199999999	,	2022-05-16
,	USAD 4318	,	103N	,	44.67034	,	-98.22130199999999	,	2022-05-16
,	USAD 4318	,	104N	,	44.67034	,	-98.22130199999999	,	2022-05-16
,	USAD 4319	,	186C	,	44.672244	,	-98.221301	,	2022-05-18
,	USAD 4319	,	104N	,	44.672244	,	-98.221301	,	2022-05-18
,	USAD 4319	,	161N	,	44.672244	,	-98.221301	,	2022-05-18
,	USAD 4319	,	103N	,	44.672244	,	-98.221301	,	2022-05-18
,	USAD 4319	,	192N	,	44.672244	,	-98.221301	,	2022-05-18
,	USAD 4319	,	105N	,	44.672244	,	-98.221301	,	2022-05-18
,	USAD 4341	,	109N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	112N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	110N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	111N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	104N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	106N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	113N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	107N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	114N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	105N	,	44.307638	,	-96.70281	,	2022-05-24
,	USAD 4341	,	102C	,	44.307638	,	-96.70281	,	2022-05-23
,	USAD 4341	,	161N	,	44.307638	,	-96.70281	,	2022-05-23
,	USAD 4341	,	103N	,	44.307638	,	-96.70281	,	2022-05-23
,	USAD 4341	,	108N	,	44.307638	,	-96.70281	,	2022-05-23
,	USAD 4342	,	184C	,	44.307735	,	-96.70249099999999	,	2022-05-24
,	USAD 4342	,	161N	,	44.307735	,	-96.70249099999999	,	2022-05-23
,	USAD 4342	,	103N	,	44.307735	,	-96.70249099999999	,	2022-05-23
,	USAD 4342	,	102N	,	44.307735	,	-96.70249099999999	,	2022-05-23
,	USAD 4342	,	294N	,	44.307735	,	-96.70249099999999	,	2022-05-23
,	USAD 4342	,	211N	,	44.307735	,	-96.70249099999999	,	2022-05-23
,	USAD 4342	,	207N	,	44.307735	,	-96.70249099999999	,	2022-05-22
,	USAD 4342	,	206N	,	44.307735	,	-96.70249099999999	,	2022-05-22
,	USAD 4342	,	208N	,	44.307735	,	-96.70249099999999	,	2022-05-22
,	USAD 4342	,	209N	,	44.307735	,	-96.70249099999999	,	2022-05-22
,	USAD 4342	,	210N	,	44.307735	,	-96.70249099999999	,	2022-05-22
,	USAD 4342	,	204N	,	44.307735	,	-96.70249099999999	,	2022-05-20
,	USAD 4342	,	201N	,	44.307735	,	-96.70249099999999	,	2022-05-20
,	USAD 4342	,	205N	,	44.307735	,	-96.70249099999999	,	2022-05-20
,	USAD 4342	,	203N	,	44.307735	,	-96.70249099999999	,	2022-05-20
,	USAD 4342	,	202N	,	44.307735	,	-96.70249099999999	,	2022-05-20
,	USAD 434N	,	OB4	,	44.307784	,	-96.707448	,	2022-06-04
,	USAD 434N	,	OB7	,	44.307784	,	-96.707448	,	2022-06-04
,	USAD 434N	,	OB5	,	44.307784	,	-96.707448	,	2022-06-04
,	USAD 434N	,	OB6	,	44.307784	,	-96.707448	,	2022-06-04
,	USAD 434N	,	OB3	,	44.307784	,	-96.707448	,	2022-06-04
,	USAD 434N	,	VIG	,	44.307784	,	-96.707448	,	2022-06-04
,	USAD 43H2	,	HELI	,	44.3107	,	-96.70272900000001	,	2022-05-24
,	USAD 4401	,	192C	,	43.979457	,	-96.06641999999999	,	2022-05-19
,	USAD 4401	,	105N	,	43.979457	,	-96.06641999999999	,	2022-05-19
,	USAD 4401	,	104N	,	43.979457	,	-96.06641999999999	,	2022-05-19
,	USAD 4401	,	106N	,	43.979457	,	-96.06641999999999	,	2022-05-19
,	USAD 4401	,	161N	,	43.979457	,	-96.06641999999999	,	2022-05-19
,	USAD 4401	,	103N	,	43.979457	,	-96.06641999999999	,	2022-05-19
,	USAD 4C10	,	102C	,	44.685279	,	-99.424356	,	2022-06-02
,	USAD 4C10	,	161N	,	44.685279	,	-99.424356	,	2022-06-02
,	USAD 4C12	,	192C	,	43.500112	,	-99.912327	,	2022-05-18
,	USAD 4C12	,	161N	,	43.500112	,	-99.912327	,	2022-05-18
,	USAD 4C18	,	161N	,	43.802632	,	-98.574067	,	2022-05-15
,	USAD 4C23	,	162N	,	43.036982	,	-98.25189	,	2022-05-04
,	USAD 4C23	,	193N	,	43.036982	,	-98.25189	,	2022-05-04
,	USAD 4C23	,	161N	,	43.036982	,	-98.25189	,	2022-05-04
,	USAD 4C26	,	161N	,	44.36142	,	-97.800043	,	2022-05-19
,	USAD 4C26	,	162N	,	44.36142	,	-97.800043	,	2022-05-19
,	USAD 4C32	,	102C	,	43.624837	,	-96.47082	,	2022-05-18
,	USAD 4C32	,	161N	,	43.624837	,	-96.47082	,	2022-05-18
,	USAD 4C38	,	102N	,	44.080466	,	-97.030357	,	2022-05-18
,	USAD 4C38	,	161N	,	44.080466	,	-97.030357	,	2022-05-18
,	USAD 5320	,	103N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	105N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	107N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	192C	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	108N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	104N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	161N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5320	,	106N	,	43.614206	,	-98.264696	,	2022-05-15
,	USAD 5323	,	102C	,	43.469947	,	-99.082335	,	2022-05-12
,	USAD 5323	,	161N	,	43.469947	,	-99.082335	,	2022-05-12
,	USAD 5330	,	110N	,	43.48675	,	-97.580794	,	2022-05-14
,	USAD 5330	,	112N	,	43.48675	,	-97.580794	,	2022-05-14
,	USAD 5330	,	111N	,	43.48675	,	-97.580794	,	2022-05-14
,	USAD 5330	,	108N	,	43.48675	,	-97.580794	,	2022-05-11
,	USAD 5330	,	105N	,	43.48675	,	-97.580794	,	2022-05-11
,	USAD 5330	,	109N	,	43.48675	,	-97.580794	,	2022-05-11
,	USAD 5330	,	161N	,	43.48675	,	-97.580794	,	2022-05-10
,	USAD 5330	,	106N	,	43.48675	,	-97.580794	,	2022-05-10
,	USAD 5330	,	107N	,	43.48675	,	-97.580794	,	2022-05-10
,	USAD 5330	,	104N	,	43.48675	,	-97.580794	,	2022-05-10
,	USAD 5330	,	192N	,	43.48675	,	-97.580794	,	2022-05-10
,	USAD 5330	,	103C	,	43.48675	,	-97.580794	,	2022-05-10
,	USAD 5340	,	103N	,	43.320653	,	-96.56883500000001	,	2022-05-07
,	USAD 5340	,	161N	,	43.320653	,	-96.56883500000001	,	2022-05-07
,	USAD 5340	,	192C	,	43.320653	,	-96.56883500000001	,	2022-05-07
,	USAD 5408	,	212N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	204N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	208N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	207N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	205N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	201N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	210N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	211N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	206N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	161N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	102N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	202N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	209N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	203N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5408	,	213N	,	43.200982	,	-95.811994	,	2022-05-20
,	USAD 5D06	,	103N	,	43.257954	,	-96.085463	,	2022-05-20
,	USAD 5D06	,	161N	,	43.257954	,	-96.085463	,	2022-05-20
,	USAD 5D06	,	192N	,	43.257954	,	-96.085463	,	2022-05-20
,	USBY 8F48	,	102N	,	36.12139642	,	-88.78483595	,	2022-05-12
,	USBY 8F48	,	101N	,	36.12139642	,	-88.78483595	,	2022-05-12
,	USBY 9511	,	103N	,	32.61604021	,	-91.54450968	,	2022-03-28
,	USBY 9511	,	191N	,	32.61604021	,	-91.54450968	,	2022-03-28
,	USBY 9511	,	105N	,	32.61604021	,	-91.54450968	,	2022-03-28
,	USBY 9511	,	161N	,	32.61604021	,	-91.54450968	,	2022-03-28
,	USBY 9511	,	104N	,	32.61604021	,	-91.54450968	,	2022-03-28
,	USBY 9530	,	107N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	103N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	108N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	106N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	104N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	102N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	105N	,	35.73471048	,	-90.50043664	,	2022-05-10
,	USBY 9530	,	161N	,	35.73471048	,	-90.50043664	,	2022-05-01
,	USBY 9534	,	103N	,	35.2220087	,	-90.8121223	,	2022-04-28
,	USBY 9534	,	161N	,	35.2220087	,	-90.8121223	,	2022-04-28
,	USBY 9534	,	102N	,	35.2220087	,	-90.8121223	,	2022-04-28
,	USBY 9534	,	191N	,	35.2220087	,	-90.8121223	,	2022-04-28
,	USBY 9534	,	105N	,	35.2220087	,	-90.8121223	,	2022-04-28
,	USBY 9534	,	104N	,	35.2220087	,	-90.8121223	,	2022-04-28
,	USBY 9615	,	101N	,	33.5661749	,	-90.22848667	,	2022-03-30
,	USBY 9615	,	102N	,	33.5661749	,	-90.22848667	,	2022-03-30
,	USBY 9626	,	102N	,	33.92578233	,	-90.28923085	,	2022-04-10
,	USBY 9626	,	161N	,	33.92578233	,	-90.28923085	,	2022-04-10
,	USBY 9F19	,	102N	,	33.43350528	,	-90.45416616999999	,	2022-04-09
,	USBY 9F19	,	161N	,	33.43350528	,	-90.45416616999999	,	2022-04-09
,	USBY 9F40	,	161N	,	34.81029475	,	-91.60379700999999	,	2022-04-10
,	USBY 9Z36	,	161N	,	36.19974329	,	-90.67613509	,	2022-04-30
,	USBY 9Z36	,	102N	,	36.19974329	,	-90.67613509	,	2022-04-30
,	USBY 9Z39	,	103N	,	34.80751809	,	-91.08326364	,	2022-05-11
,	USBY 9Z39	,	102N	,	34.80751809	,	-91.08326364	,	2022-05-11
,	USBY 9Z39	,	161N	,	34.80751809	,	-91.08326364	,	2022-05-11
,	USBY 9Z39	,	191N	,	34.80751809	,	-91.08326364	,	2022-05-11
,	USCL 6601	,	196N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	106N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	192N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	195N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	103N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	105N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	161N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	191N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	193N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	194N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	101N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	107N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	104N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6601	,	102N	,	40.901768	,	-89.215699	,	2022-05-18
,	USCL 6614	,	111N	,	40.915692	,	-89.885459	,	2022-05-19
,	USCL 6614	,	113N	,	40.915692	,	-89.885459	,	2022-05-19
,	USCL 6614	,	112N	,	40.915692	,	-89.885459	,	2022-05-19
,	USCL 6614	,	191C	,	40.915692	,	-89.885459	,	2022-05-19
,	USCL 6614	,	161N	,	40.915692	,	-89.885459	,	2022-05-19
,	USCL 6614	,	108N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	105N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	101N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	110N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	107N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	104N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	109N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	106N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	102N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6614	,	103N	,	40.915692	,	-89.885459	,	2022-05-18
,	USCL 6639	,	191N	,	40.617213	,	-88.328406	,	2022-05-11
,	USCL 6639	,	182N	,	40.617213	,	-88.328406	,	2022-05-11
,	USCL 6639	,	181C	,	40.617213	,	-88.328406	,	2022-05-11
,	USCL 6639	,	163N	,	40.617213	,	-88.328406	,	2022-05-11
,	USCL 6716	,	191N	,	40.940085	,	-86.904579	,	2022-05-10
,	USCL 6716	,	161N	,	40.940085	,	-86.904579	,	2022-05-10
,	USCL 6716	,	101N	,	40.940085	,	-86.904579	,	2022-05-09
,	USCL 6716	,	103N	,	40.940085	,	-86.904579	,	2022-05-09
,	USCL 6716	,	104N	,	40.940085	,	-86.904579	,	2022-05-09
,	USCL 6716	,	102N	,	40.940085	,	-86.904579	,	2022-05-09
,	USCL 6719	,	104N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	106N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	161N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	103N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	105N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	107N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	102N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	101N	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6719	,	191C	,	40.252036	,	-87.022149	,	2022-05-31
,	USCL 6F22	,	101N	,	41.093219	,	-90.74524700000001	,	2022-05-11
,	USCL 6F22	,	162N	,	41.093219	,	-90.74524700000001	,	2022-05-11
,	USCL 6F37	,	101N	,	40.778674	,	-88.070201	,	2022-05-02
,	USCL 6F37	,	162N	,	40.778674	,	-88.070201	,	2022-05-02
,	USCL 7603	,	114N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	115N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	103N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	111N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	104N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	162N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	110N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	116N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	108N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	106N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	117N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	112N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	105N	,	39.782004	,	-90.030219	,	2022-05-12
,	USCL 7603	,	191N	,	39.782004	,	-90.030219	,	2022-05-12
